"분류","자치구","공연/행사명","날짜/시간","장소","기관명","이용대상","이용요금","출연자정보","프로그램소개","기타내용","홈페이지?주소","대표이미지","신청일","시민/기관","시작일","종료일","테마분류","경도(X좌표)","위도(Y좌표)","유무료","문화포털상세URL"
"전시/미술","강남구","K-일러스트레이션페어 서울 2025","2025-02-06~2025-02-09","서울 삼성동 코엑스 3층 D홀","기타","누구나","사전 예매가 : ~ 2025년 1월 31일(금)까지 결제 시 8,000원ㅣ현장 구매가 : 10,000원","","","","https://k-illustrationfair.com/","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=817259e2d7314e24a6cf52eb12d211ba&thumb=Y","2024-11-22","기관","2025-02-06 00:00:00.0","2025-02-09 00:00:00.0","기타","127.059159043842","37.5118239121138","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151222&menuNo=200009"
"교육/체험","강서구","[겸재정선미술관] 2025 명사석학 미술인문학 강좌","2025-01-24~2025-12-19","겸재정선미술관 3층 다목적실","강서구청","일반 성인 100명 내외","50,000원 (12회분)","","","","https://culture.gangseo.seoul.kr/gsfc/education/view.do?eduSn=96&menuNo=800042","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5e67ad741e924a84bb5bd8d2c7c471c8&thumb=Y","2024-11-14","기관","2025-01-24 00:00:00.0","2025-12-19 00:00:00.0","기타","126.838412024868","37.5722229700452","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151003&menuNo=200011"
"교육/체험","강서구","[겸재정선미술관] 2025 겸재 문화학교 강좌 [풍속화의 진수성찬: 조선 문화를 엿보다]","2025-01-17~2025-12-12","겸재정선미술관 3층 다목적실","강서구청","일반 성인 80명 내외","40,000원 (12회분)","","","","https://culture.gangseo.seoul.kr/gsfc/education/view.do?eduSn=97&menuNo=800042","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=dcfb78f3fbc74783a0527e25dd65c820&thumb=Y","2024-11-14","기관","2025-01-17 00:00:00.0","2025-12-12 00:00:00.0","기타","126.838412024868","37.5722229700452","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151005&menuNo=200011"
"전시/미술","노원구","[노원구청] 뉴욕의 거장들: 잭슨 폴록과 마크 로스코의 친구들","2025-01-10~2025-07-12","노원문화예술회관 4층","노원구청","누구나","성인 15,000원｜청소년 및 어린이 12,000원","","","","https://blog.naver.com/goodnowon/223673524129","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=67228f8ed5e146709620a92a28f9c7cf&thumb=Y","2024-11-28","기관","2025-01-10 00:00:00.0","2025-07-12 00:00:00.0","기타","127.080267103033","37.6502368524442","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151372&menuNo=200009"
"클래식","강남구","첼리스트 신호철이 해설해주는 [앙상블 플레이리스트 Ep.3]","2025-01-05~2025-01-05","거암아트홀","기타","누구나","전석 1만원","신호철, 이한은, 홍주연, 김도윤, 이주영, 정예진, 최단, 김연준, 김수빈 ,유승희, 차수현, 하민지, 김소진, 박진희","Dvorak,Millault,Schumann","","https://geoam.co.kr/_subpage/kor/product/list.php?viewMode=view&ca_id=&sel_search=&txt_search=&page=1&idx=190","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6517c3f0f393424aa05a214dcd59c281&thumb=Y","2024-11-27","시민","2025-01-05 00:00:00.0","2025-01-05 00:00:00.0","기타","127.019106035326","37.5195101291255","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151340&menuNo=200008"
"클래식","종로구","[세종문화회관] 앙상블 버라이어티 신년음악회 [클래식 무곡]","2025-01-01~2025-01-01","세종체임버홀","세종문화회관","2018년 이전 출생자","전석 30,000원 (학생할인 50%)","","","","https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=35818&menuNo=200320","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=63bf4c69cafe4bffba09a67a042f3fd1&thumb=Y","2024-12-02","기관","2025-01-01 00:00:00.0","2025-01-01 00:00:00.0","기타","126.9760053","37.5726241","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151441&menuNo=200008"
"축제-문화/예술","종로구","[서울시청] 2024 제야의 종 타종행사","2024-12-31~2025-01-01","보신각","서울시청","누구나","무료","","","","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?menuNo=200110&cultcode=151255","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b0decaf7653c46988c78f4d1a59896d3&thumb=Y","2024-11-24","기관","2024-12-31 00:00:00.0","2025-01-01 00:00:00.0","가족 문화행사","126.983677617361","37.5697673859634","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151255&menuNo=200010"
"축제-자연/경관","중구","서울라이트 DDP : 새해맞이 카운트다운","2024-12-31~2025-01-01","DDP 전면 *어울림광장 및 디자인거리 관람가능","동대문디자인플라자","전체 관람가","","","","","https://ddp.or.kr/index.html?menuno=239&siteno=2&bbsno=658&boardno=16&bbstopno=658&act=view&subno=","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=94ab38608f6c471db2e9cb0671d46da5&thumb=Y","2024-11-21","기관","2024-12-31 00:00:00.0","2025-01-01 00:00:00.0","기타","127.0096257245","37.5668131264","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151170&menuNo=200010"
"클래식","종로구","[세종문화회관] 노영심 첼로가 좋아서, 홍진호 피아노가 좋아서","2024-12-31~2024-12-31","세종S씨어터","세종문화회관","8세 이상 (2016년 이전 출생자)","전석 110,000원","","","","https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=35804&menuNo=200004","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4300af9736f243fbb852fd324143b8af&thumb=Y","2024-11-28","기관","2024-12-31 00:00:00.0","2024-12-31 00:00:00.0","기타","126.9760053","37.5726241","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151364&menuNo=200008"
"축제-문화/예술","동대문구","[서울경제진흥원] 2024 서울콘(SEOULCON)","2024-12-28~2025-01-01","DDP 일대","서울시청","누구나","무료 ※ 프로그램별 행사시간, 장소, 입장료 등 내용 상","","","","https://seoul-con.com/ko","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2dd463320ef94e67bd48e37fdfd4e0cf&thumb=Y","2024-11-24","기관","2024-12-28 00:00:00.0","2025-01-01 00:00:00.0","기타","127.039749092173","37.574418525457","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151251&menuNo=200010"
"콘서트","종로구","[세종문화회관] 전진희 단독 콘서트 피아노와 목소리 - farewell","2024-12-28~2024-12-29","세종S씨어터","세종문화회관","8세 이상 (2016년 이전 출생자)","전석 88,000원","","","","https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=35803&menuNo=200320","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c51d7cd51e7c4bcb9f6effb17f890bcc&thumb=Y","2024-11-28","기관","2024-12-28 00:00:00.0","2024-12-29 00:00:00.0","기타","126.9760053","37.5726241","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151351&menuNo=200008"
"뮤지컬/오페라","관악구","[관악문화재단] 가족뮤지컬 [어른들은 몰라요]","2024-12-28~2024-12-28","관악아트홀 공연장","관악문화재단","5세 이상(60개월 이상)","25,000원","","","","https://gfac.or.kr/site/main/performance/PERFORMANCE/view/199","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=759b6211b3f54e1aa844572610c6e94b&thumb=Y","2024-11-27","기관","2024-12-28 00:00:00.0","2024-12-28 00:00:00.0","기타","126.944962394132","37.4675533645757","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151316&menuNo=200008"
"무용","양천구","[양천문화재단] 리드미컬 신체극 [구미호의 포옹]","2024-12-28~2024-12-28","양천문화회관 대극장","양천문화재단","초등학생 이상","","","","","https://yfac.kr/main/site/ticket/page1.do?proc_type=view&tidx=304&prepage=%2Fmain%2Fsite%2Fticket%2Fpage1.do","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=84d2814196fd46fc939eecb2573f034b&thumb=Y","2024-12-02","기관","2024-12-28 00:00:00.0","2024-12-28 00:00:00.0","기타","126.863340014538","37.5165209333904","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151442&menuNo=200008"
"연극","은평구","[구립구산동도서관마을] 보물섬ㅣ예술의전당 예술 영상화 콘텐츠 상영","2024-12-28~2024-12-28","구산동도서관마을 3층 힐링캠프","기타","누구나","","","","","https://www.gsvlib.or.kr/culture/event.asp?mode=view&lecture_seq=753","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=387388094cb34408a5f51aa11773bd86&thumb=Y","2024-11-30","기관","2024-12-28 00:00:00.0","2024-12-28 00:00:00.0","기타","126.9126891869","37.6101785198664","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151398&menuNo=200008"
"독주/독창회","서초구","신호철 첼로 독주회","2024-12-28~2024-12-28","예술의 전당 내 리사이틀홀","서울시청","7세 이상","전석 2만원","","","","https://www.sac.or.kr/site/main/show/show_view?SN=64241","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=36a0d03c9bb64d3dac04c3bf1af91980&thumb=Y","2024-11-22","시민","2024-12-28 00:00:00.0","2024-12-28 00:00:00.0","기타","127.014215239186","37.4802401962069","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151235&menuNo=200008"
"축제-문화/예술","종로구","2025 서울 아시테지 겨울축제","2024-12-27~2025-01-05","아르코꿈밭극장, NC문화재단, 서울연극센터 외 대학로 일대","기타","상세내용 참조","공연별 상이","","","","https://assitejkorea.org/business_festival_winter_info.html","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ebbe3df315274395a387eee96f2829d4&thumb=Y","2024-12-02","시민","2024-12-27 00:00:00.0","2025-01-05 00:00:00.0","어린이/청소년 문화행사","127.001322132303","37.583389560237","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151439&menuNo=200010"
"클래식","동대문구","[동대문문화재단] 기획공연 12월 [와인et멜로디]","2024-12-27~2024-12-27","선농단역사문화관 지하 3층 문화중정","동대문문화재단","만 19세 이상","전석 3만원","","","","https://booking.naver.com/booking/12/bizes/1224757","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4c353c387a3f4367b0d7f11b43e8b207&thumb=Y","2024-11-11","기관","2024-12-27 00:00:00.0","2024-12-27 00:00:00.0","기타","127.031888509482","37.5811837728607","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=150897&menuNo=200008"
"콘서트","종로구","[세종문화회관] 김푸름 단독 콘서트 푸르스름한 언플러그드 BLUISH Unplugged","2024-12-27~2024-12-27","세종S씨어터","세종문화회관","8세 이상 (2016년 이전 출생자)","R석 77,000원","","","","https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=35820&menuNo=200320","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=23a53d387a1248e588472b08fd5bc032&thumb=Y","2024-11-29","기관","2024-12-27 00:00:00.0","2024-12-27 00:00:00.0","기타","126.9760053","37.5726241","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151393&menuNo=200008"
"독주/독창회","종로구","[세종문화회관] 박진영 바이올린 독주회","2024-12-27~2024-12-27","세종체임버홀","세종문화회관","7세 이상 (2017년 이전 출생자)","전석 30,000원","","","","https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=35735&menuNo=200320","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b9b15ab8739c43059f007941c8da5d9c&thumb=Y","2024-11-28","기관","2024-12-27 00:00:00.0","2024-12-27 00:00:00.0","기타","126.9760053","37.5726241","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151349&menuNo=200008"
"클래식","강동구","[강동문화재단] 2024년 송년음악회 [Addio 2024!]","2024-12-27~2024-12-27","대극장 한강","강동문화재단","8세 이상","R석 50,000원｜S석 30,000원","","","","https://www.gdfac.or.kr/product/ko/performance/258175","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8811d6aec5134d47b75bae4210f061a4&thumb=Y","2024-11-02","기관","2024-12-27 00:00:00.0","2024-12-27 00:00:00.0","기타","127.157342546961","37.5512204558342","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=150679&menuNo=200008"
"전시/미술","강남구","서울일러스트레이션페어 V.18","2024-12-26~2024-12-29","코엑스 B홀","기타","누구나","성인: 10,000원 / 청소년 : 9,000원","","","","https://booking.naver.com/booking/5/bizes/16695","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d86ee210bd054f49b41441fb5a59e6f7&thumb=Y","2024-09-11","시민","2024-12-26 00:00:00.0","2024-12-29 00:00:00.0","기타","127.059159043842","37.5118239121138","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=149628&menuNo=200009"
"클래식","종로구","[세종문화회관] 김지수 귀국 피아노 독주회","2024-12-26~2024-12-26","세종체임버홀","세종문화회관","7세 이상 (2017년 이전 출생자)","전석 30,000원","","","","https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=35845&menuNo=200320","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=290ccb180cbc475a912dfcdcb0fb8c7c&thumb=Y","2024-11-29","기관","2024-12-26 00:00:00.0","2024-12-26 00:00:00.0","기타","126.9760053","37.5726241","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151385&menuNo=200008"
"콘서트","종로구","[세종문화회관] 민수 연말 콘서트: What a 29!","2024-12-26~2024-12-26","세종S씨어터","세종문화회관","8세 이상 (2016년 이전 출생자)","R석 77,000원","","","","https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=35821&menuNo=200320","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=63db596d1e65490da7b7ba50bcb19bbd&thumb=Y","2024-11-29","기관","2024-12-26 00:00:00.0","2024-12-26 00:00:00.0","기타","126.9760053","37.5726241","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151394&menuNo=200008"
"교육/체험","종로구","[돈의문박물관마을] 12월 25일 크리스마스, 돈의문 마을이야기 투어","2024-12-25~2024-12-25","돈의문박물관마을","돈의문박물관마을","어린이 가족 대상","","","","","https://dmvillage.info/news/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=128918413&t=board","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6b38cd2eead14cc1bc011063d38e4494&thumb=Y","2024-11-27","기관","2024-12-25 00:00:00.0","2024-12-25 00:00:00.0","기타","126.96852312550762","37.56882394907892","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151337&menuNo=200011"
"콘서트","종로구","[세종문화회관] 2024 론 브랜튼의 재즈 크리스마스!","2024-12-25~2024-12-25","세종체임버홀","세종문화회관","7세 이상","A석 47,000원｜S석 57,000원｜R석 67,000원","","","","https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=35665&menuNo=200320","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=13271a3031da41219731fad08e66c8fb&thumb=Y","2024-11-28","기관","2024-12-25 00:00:00.0","2024-12-25 00:00:00.0","기타","126.9760053","37.5726241","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151345&menuNo=200008"
"연극","종로구","[종로문화재단] 연말 가족음악극 [행복한 왕자]","2024-12-24~2024-12-29","종로 아이들극장","종로문화재단","36개월 이상","30,000원","","","","https://www.jfac.or.kr/site/main/program/perf_all_list_view?pgIdx=2320","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1d2d089d100e4774a1f4c5037e91de35&thumb=Y","2024-11-01","기관","2024-12-24 00:00:00.0","2024-12-29 00:00:00.0","어린이/청소년 문화행사","126.99830160838778","37.59029701704756","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=150670&menuNo=200008"
"국악","중구","[서울남산국악당] 입과손스튜디오 [긴긴밤]","2024-12-24~2024-12-25","서울남산국악당","서울남산국악당","누구나","전석 20,000원","","","","https://www.hanokmaeul.or.kr/ko/g/perf/%ea%b3%b5%eb%8f%99%ea%b8%b0%ed%9a%8d-%ec%9e%85%ea%b3%bc%ec%86%90%ec%8a%a4%ed%8a%9c%eb%94%94%ec%98%a4-%ea%b8%b4%ea%b8%b4%eb%b0%a4","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b5bc5cd8d254466d94c7b770bc777c06&thumb=Y","2024-11-23","기관","2024-12-24 00:00:00.0","2024-12-25 00:00:00.0","기타","126.994021611776","37.5583499463987","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151243&menuNo=200008"
"콘서트","종로구","[세종문화회관] 고상지 단독 콘서트 Christmas in Another World","2024-12-24~2024-12-25","세종S씨어터","세종문화회관","8세 이상 (2016년 이전 출생자)","R석 77,000원","","","","https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=35778&menuNo=200320","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=20c3be98609a4f618b9502de46ebc4a9&thumb=Y","2024-11-28","기관","2024-12-24 00:00:00.0","2024-12-25 00:00:00.0","기타","126.9760053","37.5726241","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151348&menuNo=200008"
"클래식","관악구","[관악문화재단] 2024 관악아트홀 송년콘서트 [김도현X한수진]","2024-12-24~2024-12-24","관악아트홀 공연장","관악문화재단","초등학생 이상 관람가","50,000원","","","","https://gfac.or.kr/site/main/performance/PERFORMANCE/view/194","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b28e74b2addb47e2a5aeb7e0dad6d3e0&thumb=Y","2024-11-13","기관","2024-12-24 00:00:00.0","2024-12-24 00:00:00.0","기타","126.944962394132","37.4675533645757","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=150956&menuNo=200008"
"콘서트","종로구","[세종문화회관] 2024 크리스마스 이브 콘서트","2024-12-24~2024-12-24","세종체임버홀","세종문화회관","7세 이상 (2017년 이전 출생자)","R석 50,000원｜S석 40,000원","","","","https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=35790&menuNo=200320","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=60bdd8b525a744a68b94816adebe683c&thumb=Y","2024-11-28","기관","2024-12-24 00:00:00.0","2024-12-24 00:00:00.0","기타","126.9760053","37.5726241","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151343&menuNo=200008"
"콘서트","영등포구","[영등포문화재단] 뮤지컬 갈라 콘서트 Winter's Melody","2024-12-24~2024-12-24","영등포아트홀","영등포문화재단","초등학생 이상 (2017년생 포함)","R석 6만원, S석 4만원","","","","https://www.ydpcf.or.kr/artexhibit/view.do?id=449","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=320bb7df77ee47ed83f9e1a0ce945faa&thumb=Y","2024-11-15","기관","2024-12-24 00:00:00.0","2024-12-24 00:00:00.0","기타","126.900109255921","37.5260087284496","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151017&menuNo=200008"
"독주/독창회","종로구","[세종문화회관] 한동연 첼로 독주회","2024-12-23~2024-12-23","세종체임버홀","세종문화회관","8세 이상 관람 가능 (2016년 이전 출생자)","전석 30,000원","","","","https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=35792&menuNo=200004","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=06706988008a48e8a0630c76a899aa3c&thumb=Y","2024-11-25","기관","2024-12-23 00:00:00.0","2024-12-23 00:00:00.0","기타","126.9760053","37.5726241","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151278&menuNo=200008"
"국악","종로구","[서울돈화문국악당] 이정호 [Legacy of J]","2024-12-22~2024-12-22","서울돈화문국악당 공연장","서울돈화문국악당","전체관람가","전석 20,000원","","","","https://sdtt.or.kr/user/program/2024/12/1623","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=051b3738a3c64e778b75061b4373cdf9&thumb=Y","2024-11-20","기관","2024-12-22 00:00:00.0","2024-12-22 00:00:00.0","기타","126.9907306641","37.5772502822","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151123&menuNo=200008"
"축제-문화/예술","종로구","제62회 대한민국연극인축제 K-Theater Awards","2024-12-22~2024-12-22","아르코예술극장 대극장","기타","만 7세(초등학생) 이상","","","","","https://theater.arko.or.kr/product/performance/259197","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=65c93c91c48546f6b63effecfb9b7642&thumb=Y","2024-12-02","시민","2024-12-22 00:00:00.0","2024-12-22 00:00:00.0","기타","127.002999899724","37.5811855191284","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151429&menuNo=200010"
"클래식","강남구","2024 파리나무십자가 소년합창단 특별초청공연","2024-12-22~2024-12-22","예술의전당 콘서트홀","기타","초등학생이상 관람가","R석 11만원 /S석 9만원 /A석 7만원 /B석 5만원 /C석 4만원","파리나무십자가소년합창단","하나되는 세상","대한민국공연전문가82인선정 연말클래식추천공연1위 ","https://tickets.interpark.com/goods/24012229","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ac5397b05f9b4b068acc32ccd76b15c9&thumb=Y","2024-08-29","시민","2024-12-22 00:00:00.0","2024-12-22 00:00:00.0","기타","127.014215239186","37.4802401962069","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=149289&menuNo=200008"
"콘서트","종로구","[서울생활문화센터 체부] 12월 크리스마스 브런치 콘서트 [K-Flutes 플루티스트 유지연]","2024-12-22~2024-12-22","체부홀","기타","누구나","","","","","https://blog.naver.com/christin_flute/223673134266","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=315feeb1894540c2b5a65728d135dabd&thumb=Y","2024-11-26","시민","2024-12-22 00:00:00.0","2024-12-22 00:00:00.0","기타","126.97148941423","37.5767084987432","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151295&menuNo=200008"
"축제-문화/예술","노원구","[노원구청] 경춘선 공릉숲길 크리스마스 마켓","2024-12-21~2024-12-21","경춘선숲길(공릉로27길), 경춘선공릉숲길 웰컴센터","노원구청","누구나","유?무료","","","","https://blog.naver.com/goodnowon/223675602562","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1a8b1d1177804802abd85696a0e4bc7e&thumb=Y","2024-11-28","기관","2024-12-21 00:00:00.0","2024-12-21 00:00:00.0","기타","127.077730754346","37.6249223178508","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151370&menuNo=200010"
"콘서트","강서구","[강서문화원] 2024 송년특집 구창모X김충훈 듀오 콘서트","2024-12-21~2024-12-21","강서아트리움 아리홀","강서문화원","초등학생 이상 누구나","전석 50,000원","","","","https://culture.gangseo.seoul.kr/gsfc/culture/gsculture/perform/view.do?cultureSn=118&menuNo=800064","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a1baf3882fee4cba9dc73b1bc3ffc9ef&thumb=Y","2024-11-15","기관","2024-12-21 00:00:00.0","2024-12-21 00:00:00.0","기타","126.837642139084","37.537543087798","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151023&menuNo=200008"
"교육/체험","송파구","[서울책보고] 북콘서트 - 「구두 디자이너 뱀씨」 임윤정 작가와의 만남","2024-12-21~2024-12-21","서울책보고","서울책보고","어린이 자녀가 있는 가족","","","","","https://www.seoulbookbogo.kr/front/index.php?g_page=event&m_page=event01&Year=2024&Month=12&act=View&D_IDX=4925&ViewType=List#","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d3daae9b30f54fa9b9e21ca9f877158c&thumb=Y","2024-11-22","기관","2024-12-21 00:00:00.0","2024-12-21 00:00:00.0","기타","127.1038467712633","37.52202784263066","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151225&menuNo=200011"
"클래식","서초구","고은회 앙상블 : Widmung","2024-12-21~2024-12-21","예술의전당 IBK챔버홀","기타","7세이상(미취학아동 입장불가)","전석 5만원 ","","","","https://www.sac.or.kr/site/main/show/show_view?SN=71280","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ff7ad7b974634e1c8b17d59e89ab012d&thumb=Y","2024-11-30","시민","2024-12-21 00:00:00.0","2024-12-21 00:00:00.0","기타","127.014215239186","37.4802401962069","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151402&menuNo=200008"
"콘서트","영등포구","[영등포문화재단] 기획공연(주제극장) [김창완밴드]","2024-12-21~2024-12-21","영등포아트홀","영등포문화재단","초등학생 이상(2017년생 포함)","전석 40,000원","","","","https://www.ydpcf.or.kr/artexhibit/view.do?id=429","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fce81d75c44248f4aca5395f366d5875&thumb=Y","2024-11-05","기관","2024-12-21 00:00:00.0","2024-12-21 00:00:00.0","기타","126.900109255921","37.5260087284496","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=150776&menuNo=200008"
"콘서트","구로구","[구로문화재단] 2024 송년콘서트 [박혜신, 별사랑]","2024-12-21~2024-12-21","구로아트밸리 예술극장","구로문화재단","8세 이상 관람가","R석 60,000원, S석 40,000원","","","","https://www.guroartsvalley.or.kr/user/performance/performanceView.do?performanceSeq=3806&page=1","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=29be099038ca494da1d03c478c845c86&thumb=Y","2024-11-08","기관","2024-12-21 00:00:00.0","2024-12-21 00:00:00.0","기타","126.890315032666","37.4966251468796","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=150874&menuNo=200008"
"콘서트","강남구","Jazz Meets Christmas 송영주 퀄텟","2024-12-21~2024-12-21","씨스퀘어(C-SQUARE)","기타","만 7세 이상","전석 77,000원","","","","https://blog.naver.com/pageturner_kr/223667305810","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1ead73f7a6f443d7a7920d4ce006d721&thumb=Y","2024-11-21","시민","2024-12-21 00:00:00.0","2024-12-21 00:00:00.0","기타","127.066592014355","37.5038047972699","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151193&menuNo=200008"
"클래식","종로구","[세종문화회관] 린트리오 기획연주회 [Winter Serenades]","2024-12-21~2024-12-21","세종체임버홀","세종문화회관","6세 이상 (2018년 이전 출생자)","전석 30,000원","","","","https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=35789&menuNo=200004","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2ab56d72a9214809a8f26305e9e26192&thumb=Y","2024-11-19","기관","2024-12-21 00:00:00.0","2024-12-21 00:00:00.0","기타","126.9760053","37.5726241","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151117&menuNo=200008"
