"분류","자치구","공연/행사명","날짜/시간","장소","기관명","이용대상","이용요금","출연자정보","프로그램소개","기타내용","홈페이지?주소","대표이미지","신청일","시민/기관","시작일","종료일","테마분류","경도(X좌표)","위도(Y좌표)","유무료","문화포털상세URL"
"연극","강동구","[강동문화재단] 2024. 아시테지 in 강동 [문제적 핑크]","2024-08-02~2024-08-03","강동아트센터 소극장 드림","강동문화재단","6세 이상 관람 (10세 이상 권장)","R석 50,000원","","","","https://www.gdfac.or.kr/web/lay2/program/S1T204C211/show/view.do?show_seq=2109&cpage=1&rows=999&keyword=&place=&start_dt=&end_dt=","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=15bdfd0f16904561ba5616114e9c73fe&thumb=Y","2024-06-13","기관","2024-08-02 00:00:00.0","2024-08-03 00:00:00.0","기타","127.157342546961","37.5512204558342","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=147519&menuNo=200008"
"연극","종로구","2024년 야간 공연 관람권_[역사시비 8월 후-하!]","2024-08-02~2024-08-02","예술공간 혜화","기타","전체관람가","야간 공연 관람권 10,000원","","","","https://www.daehakroticket.com/ticket.do?command=perform_view&contents_code=20240704001","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b12ade3bbefd4a6482eb1c686a1f04dc&thumb=Y","2024-07-26","시민","2024-08-02 00:00:00.0","2024-08-02 00:00:00.0","기타","127.000475979187","37.5866272854666","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=148464&menuNo=200008"
"콘서트","송파구","[송파문화재단] SAL-ON CONCERT [한여름밤의 무도]","2024-08-02~2024-08-02","석촌호수 아뜰리에","송파문화재단","초등학생 이상 (8세 이상)","","","","","https://www.songpafac.or.kr/notice_view.do?brd_seq=840&curPage=&searchtype=&keyword=","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7fc164ce922d41078fb21094a794c295&thumb=Y","2024-07-19","기관","2024-08-02 00:00:00.0","2024-08-02 00:00:00.0","기타","127.098243601383","37.5067771140172","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=148236&menuNo=200008"
"축제-기타","중구","[DDP] 서울시와 Google이 함께하는 새싹 잡 페스티벌","2024-08-02~2024-08-02","DDP 아트홀 1, 2관, 컨퍼런스홀","동대문디자인플라자","다양한 채용 기회를 찾는 신입/주니어 구직자","","","","","https://ddp.or.kr/index.html?menuno=239&siteno=2&bbsno=635&boardno=16&bbstopno=635&act=view&subno=","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=826d615f1c2246dd95bd93c74469a109&thumb=Y","2024-07-31","기관","2024-08-02 00:00:00.0","2024-08-02 00:00:00.0","기타","127.0096257245","37.5668131264","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=148549&menuNo=200010"
"콘서트","송파구","[서울 문화의 밤] 재즈콘서트 [상흠 재즈 트리오]","2024-08-02~2024-08-02","한성백제박물관 로비","한성백제박물관","시민 누구나","","","","","https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S240718145308796584","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fb57b992400546f7af0fd7fe7fd34abe&thumb=Y","2024-07-26","기관","2024-08-02 00:00:00.0","2024-08-02 00:00:00.0","기타","127.12088940368128","37.51543881335773","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=148466&menuNo=200008"
"독주/독창회","종로구","[세종문화회관] 이준화 바이올린 독주회","2024-08-02~2024-08-02","세종체임버홀","세종문화회관","2017년생부터 관람 가능 ","전석 20,000원","","","","https://www.sejongpac.or.kr:443/portal/performance/performance/view.do?performIdx=35307&menuNo=200004&sdate=2024-06-13&searchWrd=&searchSort=1&searchCnd=1&searchPlaceCdStr=P%2CALL&edate=2024-08-04&searchPackage=&pageIndex=4","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6fbe55ef9beb4865ab7df14c2094caed&thumb=Y","2024-06-13","기관","2024-08-02 00:00:00.0","2024-08-02 00:00:00.0","기타","126.9760053","37.5726241","유료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=147538&menuNo=200008"
"교육/체험","중구","[서울도서관] 서울 문화의 밤(8월) 행사 - 국지승 그림책 작가와 방구석 북토크","2024-08-02~2024-08-02","서울도서관 1층 생각마루","서울도서관","서울도서관 회원 (80명, 선착순)","","","","","https://lib.seoul.go.kr/lecture/applyDetail/5301","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d0855b1818b64859a44a3decc7600e90&thumb=Y","2024-07-23","기관","2024-08-02 00:00:00.0","2024-08-02 00:00:00.0","기타","126.977829174031","37.5663174209601","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=148347&menuNo=200011"
"교육/체험","종로구","[서울 문화의 밤] 역사특강 근현대사 역사용어 사용설명서","2024-08-02~2024-08-02","서울역사박물관 야주개홀","서울시청","시민 누구나","","","","","https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S240718125541990271","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=813fa9a4f0e8409aa3e13d1531f1f345&thumb=Y","2024-07-30","기관","2024-08-02 00:00:00.0","2024-08-02 00:00:00.0","기타","126.97052372473162","37.570507525011855","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=148515&menuNo=200011"
"교육/체험","동작구","[동작문화재단] 2024 사육신역사관 특화 프로그램 사업 [등용문]","2024-08-01~2024-12-31","사육신역사관 1층 로비","동작문화재단","상세내용 참고","","","","","https://www.idfac.or.kr/bbs/board.php?bo_table=gallery_info&wr_id=157","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=238e54f5b0f64e8fa6290928422bee06&thumb=Y","2024-08-06","기관","2024-08-01 00:00:00.0","2024-12-31 00:00:00.0","기타","126.949411135441","37.5134579901091","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=148678&menuNo=200011"
"기타","종로구","[서울생활문화센터 낙원] 낙원 FM 일일디제이","2024-08-01~2024-12-27","서울생활문화센터 낙원 N스페이스 (다목적홀)","서울생활문화센터-낙원","시민 누구나","","","","","http://www.nakwon-communityart.or.kr/bbs/edu&mode=view&no=132","https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1a67551f46a74ab0bf39d77e5a8a1215&thumb=Y","2024-08-08","기관","2024-08-01 00:00:00.0","2024-12-27 00:00:00.0","기타","126.987902476529","37.5727635233966","무료","https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=148749&menuNo=200013"
